year,statefip,state,abbrev,ins_public,ins_private,median_hhincome,race_white_wra_esi,race_black_wra_esi,race_asian_wra_esi,race_hispanic_wra_esi,supply_pct_wra_no_maternity_hosp,supply_prim_care_per_10k,supply_obgyn_per_10k,supply_rhc_fqhc_per_100k,male_vasectomy,otc,extended_supply,pharmacy_access
2014,17,Illinois,IL,.32569823,.57384491,58000,.65739322,.10316627,.070344508,.15022676,.088783175,8.036129,1.3322382,4.0293217,0,0,0,0
2014,18,Indiana,IN,.31070244,.56509215,49000,.82012582,.076953165,.029464189,.057902019,.14130819,6.7153211,.9671275,2.8195255,0,0,0,0
2014,19,Iowa,IA,.33390182,.60705745,53200,.87618101,.022371633,.036291022,.055889502,.15311664,7.4119945,.66299212,6.7586575,0,0,0,0
2014,20,Kansas,KS,.28933606,.60145158,51200,.78841752,.047335699,.042477366,.086812936,.08842095,7.5033894,.96762383,7.3346577,0,0,0,0
2014,21,Kentucky,KY,.39068717,.51757634,43000,.8834973,.05808945,.018818617,.018669164,.38392761,6.6886344,.96296394,6.4575229,0,0,0,0
2014,22,Louisiana,LA,.34797028,.49896789,44700,.6394679,.28563333,.023222288,.035323985,.2336165,6.482172,1.4259058,5.0541158,0,0,0,0
2014,23,Maine,ME,.38794622,.51410544,48700,.94125861,.0030356748,.018250979,.015739715,.024966642,11.051892,1.0976709,10.224879,0,0,0,0
2014,24,Maryland,MD,.30848718,.60983145,73000,.53085011,.28656232,.081757292,.069543764,.068947412,8.8799171,1.6130093,1.2716671,0,0,0,0
2014,25,Massachusetts,MA,.35923505,.60613132,68400,.75804603,.057636026,.084528312,.076581351,0,10.521232,1.4528402,1.5566145,0,0,0,0
2014,26,Michigan,MI,.36065835,.55232358,49550,.77616793,.1132431,.039198384,.04872334,.12740269,8.0394535,1.2391678,3.8143764,0,0,0,0
2014,27,Minnesota,MN,.30846906,.63078064,61000,.82056987,.049273331,.066871047,.04064301,.13321434,9.0541382,1.1196274,2.5837553,0,0,0,0
2014,28,Mississippi,MS,.38027787,.46724418,39000,.58050394,.3831329,.0081470273,.016548952,.26310083,5.2737417,1.0487366,12.324324,0,0,0,0
2014,29,Missouri,MO,.30942154,.57221407,48120,.80901271,.1020122,.026674107,.033925023,.18037713,7.058526,1.068674,8.7571898,0,0,0,0
